dialogue_hi,emotion
आपको यहां पिज्जा कैसे पसंद है? उत्तम ।यह वास्तव में स्पॉट हिट करता है।,joy
"क्या आपके पास एक लाइटर है ? क्षमा करें, मैं धूम्रपान नहीं करता।",sadness
उसको क्या हुआ है ? उसकी नाक संयुक्त से बाहर है क्योंकि हम उसे पार्टी में आमंत्रित करना भूल गए थे।,sadness
कल आपके परीक्षा में शुभकामनाएँ।हम आपके लिए अपनी उंगलियों को पार करेंगे! धन्यवाद ।,joy
काँप क्यों रहा है ? यह बहुत ठंडा है ।,fear
पनीर !यह कार्डबोर्ड की तरह स्वाद लेता है। मुझे भी ऐसा ही लगता है ।हो सकता है कि यहाँ यह सस्ता हो।,joy
"यदि वेदरमैन की भविष्यवाणियां सटीक हैं, तो कल बारिश होनी चाहिए। मुझे आशा नहीं है ।फिर हमें अपने बेसबॉल गेम को पुनर्निर्धारित करना होगा।",joy
माँ ।मेरे पैर मुझे मार रहे हैं। पकड़ना ।हम तुरंत सफल होंगे।,joy
"कैसे सेकंड के बारे में, विक्टर? जी नहीं, धन्यवाद ।मेरा पेट भर चुका है ।",joy
माफ़ करें ।क्या यह सीट दे दी गई है ? मुझे भी डर है ।,fear
क्या मुझे सारा से पार्टी से पूछना चाहिए? अगर मैं तुम होते तो मैं होता।,anger
क्या मैं आपका सूट उधार ले सकता हूं? यह सवाल से बाहर है।,anger
आपका जन्मदिन कब है? यह कोने के चारों ओर है।,fear
"क्षमा करें, मुझे आज बैठक में देर हो गई।मैं यातायात में फंस गया। वह ठीक है ।देर आए दुरुस्त आए ।",sadness
आपका बेहतर आधा कहाँ है? वह घर पर है ।,anger
आपकी ब्रांड नई कार इतनी उत्कृष्ट है।मुझे यह बहुत पसन्द आया । एक खुशी की सवारी के लिए जाने दें।,joy
क्या आप आज रात पार्टी में मेरे साथ जाने को तैयार होंगे? यकीन मैं प्यार करता हूँ ।,joy
क्या आपको लगता है कि मुझे अब यह खरीदना चाहिए और इसे अपने साथ लाना चाहिए? भेजा मत खा ।वे एक दर्जन हैं जहां हम जा रहे हैं।,anger
क्या नौकायन मज़ा है? बिलकुल !,joy
जल्दी करो ।समय समाप्त हो रहा है । अच्छा ऐसा है ।मैं जितनी जल्दी हो सके उतनी तेजी से चला गया हूं।,joy
आज कौन सा दिन है ? यह शुक्रवार है।,anger
हमने लंबे समय तक इंतजार किया है।हम कब शुरू करेंगे? आराम से लो ।मुझे अपने नुकसान में कटौती करनी है।,sadness
आप सभी को क्यों तैयार किया जाता है? मुझे डेट मिली है।,joy
"मेरी प्रेमिका ने मुझे डंप किया। खैर, यह जीवन है।",sadness
चलो अन्दर चले । आप के बाद ।,joy
"क्या आप ? ठीक है, धन्यवाद ।आप कैसे हैं ?",joy
मुझे अपने नए घर में जाने में मदद करने के लिए धन्यवाद। किसी भी समय।मुझे खुशी है कि मैं मदद कर सकता हूं।,joy
"आपने मुझ पर अपने कंप्यूटर को चुराने की हिम्मत कैसे की? मुझे क्षमा करें, लेकिन आप केवल एक ही थे, जिनकी पहुंच थी।",anger
शर्मीली मत बनो।कुछ और चिकन है। धन्यवाद ।,fear
आप इतनी बार मछली पकड़ने क्यों जाते हैं? मजा आता है ।,joy
"बीजिंग में देखने के लिए अच्छी जगहें क्या हैं? खैर, मुझे पता है कि आप वास्तुकला में रुचि रखते हैं, इसलिए आपको स्वर्ग के मंदिर को याद नहीं करना चाहिए, और महान दीवार भी एक जरूरी है।",joy
"मुझे क्षमा करें, लेकिन मैं आपकी पार्टी में नहीं आ सकता। कितनी शर्म की बात है !",sadness
यह खतरनाक है।मैं जाने की हिम्मत नहीं करता। चलो भी ।यह काफी सुरक्षित है।आपके पास वास्तव में कोई हिम्मत नहीं है।,anger
क्या आपने खबर सुनी ? नहीं ।क्या हुआ ?,fear
वे लोग एक ही कंपनी में काम करते हैं और एक ही बार में जाते हैं।वे सब कुछ एक साथ करते हैं। पंखो वाले पक्षियों का एकसाथ झुंड ।,anger
"मैं वास्तव में अकादमिक पुस्तकों को पढ़ना नापसंद करता हूं। ऐसा हो सकता है, लेकिन उन्हें पढ़ना आपके ज्ञान का विस्तार करने का एक महत्वपूर्ण तरीका है।",joy
पीटर और मैरी टूट गए। क्या आप गंभीर हैं ?,anger
मैं बहुत घबराया हुआ हूं। शांत हो !,fear
बहुत खूब !यह पैक किया गया है। ट्रेन स्टेशन वास्तव में भीड़ है।मुझे लगता है कि ट्रेन में आना हमारे लिए कठिन है।,fear
क्या आज रात तुम खाली हो ? निर्भर करता है।,joy
"क्या यह आपको परेशान करता है कि आपके पति लंबी व्यावसायिक यात्राओं पर चले जाते हैं? नहीं, हमने अलग -अलग समय बिताया है, यह हमारे लिए अच्छा रहा है।",love
"सिंडी, मैंने सुना है कि आप उस विश्वविद्यालय में शामिल हो गए।बधाई हो ! धन्यवाद !मैं बहुत खुश हूं।यह एक सपने के सच होने जैसा है।",joy
"तुम्हारा प्रिय खेल क्या है ? बास्केटबॉल, मैं एक बास्केटबॉल प्रशंसक हूं।",joy
मैं कल बंजी कूद गया। मजेदार लगता है ।,joy
हमारे पास पूर्ण प्रमाण है कि आपने अपराध किया है। यह बिल्कुल हास्यास्पद है!,joy
यह एक कठिन सवाल था।आपको यह कैसे मिला? मैंने बस अंधेरे में एक शॉट लिया।,fear
मैं तुम्हें हमेशा अपने कपड़े पहने हुए थक गया हूँ! क्या आप केतली को काला नहीं कर रहे हैं?आप अभी मेरी पैंट पहने हुए हैं!,anger
मुझे खेद है कि मुझे अब बंद होना चाहिए।मेरी प्रेमिका ने मुझे बताया कि मुझे दस मिनट में उसके घर पहुंचना चाहिए या वह मेरे साथ टूट जाएगी। वह इसका सामना कर सकती है।इस तरह के एक wimp नहीं है!,anger
मुझे कल फोन दो। ठीक है ।,joy
आपको कैसा लगता है ? मैं घबराया हुआ हूं।,fear
शिक्षक ने सिर्फ परीक्षा रद्द कर दी। क्या आप मजाक कर रहे हैं?,anger
डरो मत।इसे आज़माइए । ठीक है ।,fear
"टॉम, क्रिसमस दिवस आ रहा है।आपको क्रिसमस की शुभकामनाएँ। धन्यवाद ।और आप के लिए एक मेरी क्रिसमस!",joy
सब खत्म हो चुका है ।मैं दिवालिया हूं। चिंता मत करो ।सब कुछ ठीक हो जाएगा ।,joy
"जहाज पर कितने यात्री हैं? सत्तर, मुझे लगता है।",joy
मेरे चाचा का कल रात निधन हो गया। मेरी संवेदना ।,sadness
आपका व्यापार कैसा है ? इतना तो ।,joy
काश मेरे पास पब्लिक लाइब्रेरी तक पहुंच होती। यह आसान है!बस जाओ और एक कार्ड प्राप्त करो।,joy
क्या आप तैयार हैं ? अभी तक नहीं ।,joy
आप काम पर क्यों नहीं हैं? मैंने बीमार में फोन किया।,fear
आप इस कार को ध्यान में रख सकते हैं।यह अच्छी तरह से काम करता है और इसकी कीमत उचित है। मेरा कल जन्म हुआ था ।,joy
"मुझे अपना पोर्टेबल सीडी प्लेयर उधार लेने के लिए धन्यवाद। ओह, आपका स्वागत है।",joy
यह शहर बहुत प्रदूषित है।हमें इसके बारे में कुछ करना चाहिए। मैं सहमत हूं ।हमें अपने कचरे को रीसायकल करने और अधिक बार सार्वजनिक परिवहन का उपयोग करने की आवश्यकता है।,sadness
तुम लोग क्या कर रहे हो ? बस एक चैट कर रहा है।,anger
"क्या आपको कोई पिज्जा मिला?जब मैं वहां गया, तो केवल छोटा ही छोड़ दिया गया।अफ़सोस की बात है ! मुझे छड़ी का छोटा छोर मिला।",anger
आपका गृहनगर कहाँ है? शैंडोंग।,fear
लड़का फेंक दिया। घृणित है ।,anger
मैंने अपनी बहन का दर्पण तोड़ दिया।मुझे यकीन है कि यह उसे वापस मिल जाएगा।मैं वास्तव में नहीं जानता कि मैं सजा से कैसे बच सकता हूं। आप अपनी बहन को बेहतर बताएंगे कि क्या हुआ और संगीत का सामना करना होगा।,sadness
मेरे एकाउंटेंट को लगता है कि वह मुझे इस साल मेरे करों पर बहुत सारे पैसे बचा सकती है। वह बहुत अच्छा लगता है !,joy
माफ़ करें ।क्या मैं अंदर आ सकता हूँ ? ज़रूर ।अंदर आजाओ ।,joy
"जेन, इस डिनर के बारे में क्या सोचते हैं? बहुत अच्छा !चीनी खाद्य नियम!मुझे अगली बार उम्मीद है।",joy
अरे नहीं !मुझे हमारे समूह परियोजना के लिए जेरी के साथ काम करने के लिए सौंपा गया है। ओह !मैंने सुना है कि वह आसपास के लोगों को प्यार करता है।,anger
आप कि दिनांक क्या है ? यह जनवरी है।,anger
मेरे पति हर रात अपने दोस्तों के साथ शराब पीते हैं।मैं इससे तंग आ गया हूँ । हो सकता है कि आप दोनों को शादी के काउंसलर को देखने जाना चाहिए।,anger
"अरे बाप रे !मेरा बटुआ खो गया है।मुझे क्या करना चाहिए ?यह मुझे बोनर्स चलाता है। प्रिय, चिंता नहीं।पुलिस आपकी मदद कर सकती है।",sadness
"बाद में मिलते हैं, मगरमच्छ। इन ए व्हाइल क्रोकोडाइल ।",joy
पॉल आपको अपना संबंध भेजता है। उसका कितना अच्छा है!,joy
माइकल जैक्सन शहर में आ रहा है। मैं कम परवाह नहीं कर सकता था।,anger
चलो एक कॉफ़ी ब्रेक लेते हैं । क्यों नहीं ?,anger
मुझे खेद है ।मैंने अपनी डिस्क को घर पर छोड़ दिया। फिर भी आपको धन्यवाद ।,joy
बधाई हो !आपने अभी एक कार जीती है! यह सच होना बहुत अच्छा है।,joy
अलविदा ।अपना ध्यान रखना । आप भी ।,joy
"माँ, क्या आप मेरे साथ जीवन के दर्शन के बारे में बात कर सकते हैं? तुम मुझे उस पर मिल गया।",joy
मैं वीआईपी नहीं हूं। तुम बहुत विनम्र हो।,joy
मुझे एक उठाया गया। मुझे वह सुनकर बेहद खुशी हुई ।,joy
जिम फिर से देर हो चुका था। यह देर से होने के लिए उसे पसंद नहीं है।,anger
आप मुझे टेनिस में हरा नहीं सकते। क्या आप शर्त लगाना चाहते हैं?,anger
जमाना ! गोली मत मारो।मैं हार मानता हूं ।,anger
"आप मेरे हीरो हैं । अजी, शक्स, मैम।",joy
देखो कि कार कितनी तेजी से तेज कर सकती है! मैंने कभी ऐसा कुछ नहीं देखा।,joy
मेरे चाचा का कल रात निधन हो गया। मेरी संवेदना ।,sadness
"क्या मैं आपका एक पेन, एमी उधार ले सकता हूं? अपनी पिक, जूली ले लो।",joy
मैं तुम्हें कल देखूंगा। वादा ?,joy
मैं एक नई बाइक खरीदने के लिए बॉब पर बहुत गुस्से में हूं। बड़ी बात क्या है ?,anger
होटल आज रात भरा हुआ है।हमें रहने के लिए एक नई जगह खोजने की आवश्यकता होगी। शायद यह सिर्फ भेस में एक आशीर्वाद है।मैं वैसे भी एक नई जगह आज़माना चाहता हूं।,joy
क्षमा मांगना ।मुझे दौड़ने के लिए मिला है। ठीक है ।फिर मिलते हैं ।,joy
क्या आप अगले सप्ताह उस बड़े कॉन्सर्ट को देखने के लिए उत्सुक हैं? बिलकुल ।मैं बहुत उत्साहित हूं ।,joy
आप मेरी नई स्पोर्ट्स कार कैसे पसंद करते हैं? यह बढ़ीया है ।,joy
मैं कल एक कांच के दरवाजे में भाग गया। क्या एक हड्डी सिर है!अगली बार सावधान रहें।,fear
"आपको बहुत देर हो चुकी है, लेकिन मैं पूरे समय पिन और सुइयों पर था। ओह मैं माफी चाहता हूँ ।",sadness
